name,code_number,article_number,manufacturer,description,price
"Конверт С65 (114х229),PostSec, белый, банковская внутренняя запечатка, защитные просечки, отрывная лента, 80гр/м2, (1000шт/упк)",A29941,121181/П,Постак,"Изготовлены из офсетной бумаги плотностью 80 г/м2. Банковская внутренняя запечатка, защитные просечки. Вид заклеивания -  отрывная лента. Цвет - белый. Размер 114х229 мм (С65), 1000 шт/уп",2.34
"Карточка учёта материалов А5, хром., 97 г.",A07716,М-17/A5,ФЕНИКС,Плотность - 97 г/м2. Формат А5,3.5
"Карточка складского учёта материалов А5, хром., 72 г",A00973,М-17,ФЕНИКС,"Формат А5, плотность - 72 г/м2",3.88
"Карточка учёта материалов А4, хром., 97 г",A03297,М-17/А4,ФЕНИКС,Плотность - 97 г/м2. Формат А4,4.18
"Тетрадь школьная, косая лин., офсет,12л.",00-00053528,С 274/4,ГОЗНАК БЕЛАРУСИ,"Тетрадь школьная, косая лин., офсет,12л.",4.84
"Тетрадь школьная, лин., обл., офсет,12л",00-00053843,С 265/1,ГОЗНАК БЕЛАРУСИ,"Тетрадь школьная, лин., обл., офсет,12л",4.84
"Тетрадь школьная, кл.,обл. с таблицей умножения, офсет, 12л.",00-00035033,С 264/5,ГОЗНАК БЕЛАРУСИ,"Тетрадь школьная, кл.,обл. с таблицей умножения, офсет, 12л.",4.84
"Пакет почтовый С5 (162х229), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 2500 шт/уп), цена за 1 шт",A29921,11002,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка. Размер 162х229 мм (С5), 2500 шт/уп",5.61
"Конверт С4 (229х324), белый, без клея, треугольный клапан, 100гр/м2, (500шт/упк)",A29897,11516,Постак,Выполнен из офсета плотностью 100 г/м2. Формат С4 (229х324). Цвет - белый. Без клея. Треугольный клапан. В упаковке 500 штук,6.56
"Тетрадь школьная, кл., обл. с таблицей умножения, офсет,18л",00-00053366,С 275/5,ГОЗНАК БЕЛАРУСИ,"Тетрадь школьная, кл., обл. с таблицей умножения, офсет,18л",6.61
"Бланк товарного чека А6, 100 л, газетка",A01382,ТовЧА6,ФЕНИКС,"Формат А6, 100 л, газетная бумага",7.66
"Пакет почтовый С4 (229х324), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 1000 шт/уп), цена за 1 шт",A29922,11003,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка. Размер 229х324 мм (С4), 1000 шт/уп",8.21
Чековая лента 44х60х12 офсет,A20187,ЧЛ44x60x12/K,Новотрейд,Изготовлена из офсетной бумаги. Втулка - 12 мм. Размер 44 ммх60 м,8.21
"Тетрадь ACTION! ШКОЛЬНАЯ, мелов. картон, узкая лин., ф. А5, 12 л.,4 цвета ассорти|1",A19943,AN 1201/3M,Action!,"Тетрадь ACTION! ШКОЛЬНАЯ, мелов. картон, узкая лин., ф. А5, 12 л.,4 цвета ассорти|1",8.69
"Тетрадь ACTION! ШКОЛЬНАЯ,мелов. картон, крупная кл., ф. А5, 12 л.,4 цвета ассорти",A19944,AN 1201/6M,Action!,"Тетрадь ACTION! ШКОЛЬНАЯ,мелов. картон, крупная кл., ф. А5, 12 л.,4 цвета ассорти",8.69
"Тетрадь ACTION! ШКОЛЬНАЯ,мелов. картон, лин.,ф. А5, 12 л.,4 цвета ассорти",A16882,AN 1201/1M,Action!,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ВД-лак. Внутренний блок - офсет плотностью 60 г/м2. Крепление - скрепка. Формат А5. 12 листов. Линейка",8.69
"Тетрадь ACTION! ШКОЛЬНАЯ, мелов. картон, кл.,ф. А5, 12 л.,4 цвета ассорти",A16880,AN 1201/5M,Action!,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ВД-лак. Внутренний блок - офсет плотностью 60 г/м2. Крепление - скрепка. Формат А5. 12 листов. Клетка",8.69
"Грамота спортивная А4, с Российской символикой, мелованный картон, 047181",00-00030574,Г4_16693,ХАТБЕР,"Грамота спортивная А4, с Российской символикой, мелованный картон, 047181",9.5
"Грамота почетная А4, с Российской символикой, мелованный картон, 047186",00-00030564,Г4_16704,ХАТБЕР,"Грамота почетная А4, с Российской символикой, мелованный картон, 047186",9.5
"Диплом А4, с Российской символикой, мелованный картон, 047173",00-00030582,Д4_16709,ХАТБЕР,"Диплом А4, с Российской символикой, мелованный картон, 047173",9.5
"Диплом А4, с Российской символикой, мелованный картон, 047194",00-00030583,Д4_16700,ХАТБЕР,"Диплом А4, с Российской символикой, мелованный картон, 047194",9.5
"Грамота почетная А4, с Российской символикой, мелованный картон, 047185",00-00030569,Г4_16703,ХАТБЕР,"Грамота почетная А4, с Российской символикой, мелованный картон, 047185",9.5
"Грамота спортивная А4, с Российской символикой, мелованный картон, 047175",00-00030567,Г4_16710,ХАТБЕР,"Грамота спортивная А4, с Российской символикой, мелованный картон, 047175",9.5
"Благодарственное письмо, А4, мелованный картон 047176",00-00030576,Б4_16687,ХАТБЕР,"Благодарственное письмо, А4, мелованный картон 047176",9.5
"Грамота А4, мелованный картон, 047167",00-00030571,Г4_16991,ХАТБЕР,"Грамота А4, мелованный картон, 047167",9.5
"Грамота А4, с Российской символикой, мелованный картон, 047180",00-00030563,Г4_16692,ХАТБЕР,"Грамота А4, с Российской символикой, мелованный картон, 047180",9.5
"Грамота А4, с Российской символикой, мелованный картон, 047188",00-00030572,Г4_16707,ХАТБЕР,"Грамота А4, с Российской символикой, мелованный картон, 047188",9.5
"Грамота почетная А4, с Российской символикой, мелованный картон, 047177",00-00030568,Г4_16688,ХАТБЕР,"Грамота почетная А4, с Российской символикой, мелованный картон, 047177",9.5
"Бланк личная карточка А3, 180 г, ватман",A00974,Т-2,ФЕНИКС,"Формат А3, плотность - 180 г/м2, ватман",10.27
"Блокнот INDEX, cерия colourplay, на гребне, лиловый, кл., ламиниров. обл., ф. А7, 40 л.",A16582,INLcp-7/40p,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А7, цвет - лиловый",10.28
"Тетрадь ACTION! ШКОЛЬНАЯ, мелов. картон, лин., ф. А5, 18 л.,4 цвета ассорти",A16883,AN 1801/1M,Action!,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ВД-лак. Внутренний блок - офсет плотностью 60 г/м2. Крепление - скрепка. Формат А5. 18 листов. Линейка",10.44
"Тетрадь ACTION! ШКОЛЬНАЯ, мелов. картон, кл., ф. А5, 18 л.,4 цвета ассорти",A16884,AN 1801/5M,Action!,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ВД-лак. Внутренний блок - офсет плотностью 60 г/м2. Крепление - скрепка. Формат А5. 18 листов. Клетка",10.44
"Блокнот INDEX, серия Office classic, черный, на гребне, кл., ламиниров. обл., ф. А7, 40 л.",A16428,INLcl-7/40bl,INDEX,"Блокнот INDEX, серия Office classic, черный, на гребне, кл., ламиниров. обл., ф. А7, 40 л.",10.73
"Блокнот INDEX, серия Office classic, зеленый, на гребне, кл., ламиниров. обл., ф. А7, 40 л.",A16429,INLcl-7/40gr,INDEX,"Блокнот INDEX, серия Office classic, зеленый, на гребне, кл., ламиниров. обл., ф. А7, 40 л.",10.73
"Блокнот INDEX, серия Office classic, красный, на гребне, ф. А7, ламиниров. обл., 40 л., (INDEX)",A17411,INLcl-7/40r*,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А7, 40 листов. Цвет - красный",10.8
"Блокнот INDEX, серия Office classic, синий, на гребне, ф. А7, ламиниров. обл., 40 л., (INDEX)",A17410,INLcl-7/40bu*,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А7, 40 листов. Цвет - синий",10.8
"Пакет почтовый B4 (250х353), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 1000 шт/уп), цена за 1 шт",A29923,11004/П,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка. Размер 250х353 мм (В4), 1000 шт/уп",11.01
"Блокнот INDEX, cерия colourplay, на гребне,оранж, кл., ламиниров. обл., ф. А7, 40 л.",A16584,INLcp-7/40or,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А7, цвет - оранжевый",11.34
"Блокнот INDEX, cерия colourplay, на гребне,фиолетовый, кл., ламиниров. обл., ф. А7, 40 л.",A16587,INLcp-7/40v,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А7, цвет - фиолетовый",11.34
"Блокнот INDEX, cерия colourplay, на гребне, синий, кл., ламиниров. обл., ф. А7, 40 л.",A16586,INLcp-7/40bu,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А7, цвет - синий",11.34
"Набор цветной двусторонней бумаги FANCY, мелов.обл., блок-газетн.бумага, ф. А4, 8цв., 8л., 2 дизайна",A21499,F-8/8,Action!,"Набор цветной двусторонней бумаги FANCY, мелов.обл., блок-газетн.бумага, ф. А4, 8цв., 8л., 2 дизайна",11.63
"Пакет почтовый E4 (280х380), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 10 шт/уп)",A29924,11005,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка.Размер 280х380 мм (Е4), 10 шт/уп",12.25
"Бумага для заметок, с липким слоем, светло-зеленая, разм. 51х38 мм, 100 л., 1шт.",A03413,I431803,INDEX,"Бумага с клеевым слоем, размер блока 51х38 мм, в упаковке 3 блока по 100 листов. Цвет - зеленый",12.89
"Бумага для заметок, с липким слоем, светло-розовая, разм. 51х38 мм, 100 л., 1шт.",A03414,I431804,INDEX,"Бумага с клеевым слоем, размер блока 51х38 мм, в упаковке 3 блока по 100 листов. Цвет - розовый",12.89
"Бумага для заметок, с липким слоем, светло-голубая, разм. 51х38 мм, 100 л., 1шт.",A03412,I431802,INDEX,"Бумага с клеевым слоем, размер блока 51х38 мм, в упаковке 3 блока по 100 листов. Цвет - светло-голубой",12.89
"Бумага для заметок, с липким слоем, желтая, разм. 51х38 мм, 100 л., 1шт.",A02189,I431601,INDEX,"Бумага с клеевым слоем, размер блока 51х38 мм, в упаковке 3 блока по 100 листов. Цвет - желтый",12.89
"Пакет почтовый С3 (320х355), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 800 шт/уп), цена за 1 шт",A29925,11006,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка.Размер 320х355 мм (С3), 800 шт/уп",12.92
Чековая лента 57ммх60х12,A12048,ЧЛ57x60x12/K,Новотрейд,Изготовлена из офсетной бумаги. Втулка - 12 мм. Размер 57 ммх60 м,12.92
"Пакет С3 (320х440), белый, силиконовая лента, вн.запечатка, 100гр/м2,  (250шт/упк)",00-00002810,412017/1,Постак,Выполнен из офсета плотностью 100 г/м2. Формат С3 (320х440). Цвет - белый. Вид заклеивания - отрывная лента. В упаковке 250 штук,13.12
"Пакеты Bubble Bong с воздушной подушкой, C/0, 170х225/150х215, беленый крафт, отрывная лента, 100гр/м2, (100шт/упк)",A29928,12213,Постак,"Изготовлены из беленого крафта плотностью 100 г/м2.  Полиэтиленовая воздушно-пузырьковая пленка внутри. Отрывная лента и термоплавкий клей на клапане с высокой силой склеивания. Используются для отправки бьющихся предметов, требующих надежной защиты от ударов, падений и другого небрежного обращения. Внешний размер 170х225, внутренний размер 150х215 мм",13.25
"Папка для рисования ACTION! ИМПРЕССИОНИСТЫ, ф.А4,8л.",A30352,AFDS-4/8-1,Action!,"Папка для рисования ACTION! ИМПРЕССИОНИСТЫ, ф.А4,8л.",13.27
"Набор цветной односторонней бумаги FANCY, мелов.обл.,блок-газетн.бумага,ф. А4, 8цв., 16л., 2 дизайна",A21498,F-16/8OW,Action!,"Набор цветной односторонней бумаги FANCY, мелов.обл.,блок-газетн.бумага,ф. А4, 8цв., 16л., 2 дизайна",13.73
"Блокнот ACTION! ФЭН-ШУЙ, на гребне, кл., уф-лак, ф. А5, 40 л., 4 дизайна",A27144,ANU-5/40-6,Action!,"Блокнот ACTION! ФЭН-ШУЙ, на гребне, кл., уф-лак, ф. А5, 40 л., 4 дизайна",13.82
"Бланк накладной А5, 17 строк, 100 л, газетка",A00960,РН8,ФЕНИКС,"Формат А5, 100 л, газетная бумага, 17 строк",14.36
"Набор цветной двусторонней бумаги FANCY,мелов.обл., блок-газетн.бумага, ф. А4, 8цв., 16л.,2 диз",A16618,F-16/8,Action!,"Набор цветной двусторонней бумаги FANCY,мелов.обл., блок-газетн.бумага, ф. А4, 8цв., 16л.,2 диз",14.41
"Новинка !!! Подставка для бумажного блока, разм. 9х9х5 см, прозрачная",C32214,SPB-995,SPONSOR,Выполнена из пластика. Цвет - прозрачный. Размер 9х9х5 см,14.49
"Планинг NATURE, недатированный, евроспираль, красный, 128с., ф.305*140мм, 2015г на обложке",A18983,IPN002/RD,INDEX,"Планинг NATURE, недатированный, евроспираль, красный, 128с., ф.305*140мм, 2015г на обложке",14.5
Чековая лента 69ммх60х12 офсет,A05210,ЧЛ69Х60Х12,Новотрейд,Изготовлена из офсетной бумаги. Втулка - 12 мм. Размер 69 ммх60 м,14.52
"Блокнот на спирали, клетка, пластик.обложка",A20288,SNPcl-7/40rd-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А7, цвет - красный",14.59
"Блокнот на спирали, клетка, пластик.обложка",A20287,SNPcl-7/40gn-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А7, цвет - зеленый",14.59
"Блокнот на спирали, клетка, пластик.обложка",A20285,SNPcl-7/40bk-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А7, цвет - черный",14.59
